id,name,lat,lon,demand,tw_start,tw_end,cluster
129,Svjetlost,43.66817474365234,18.97388458251953,1,480,1080,8
130,J&V prodavnica,45.02163696289063,17.99422836303711,4,480,1080,23
131,Shop_131,44.53160095214844,18.534332275390625,18,480,1080,34
132,RETRO,43.82871627807617,18.31134986877441,9,480,1080,2
133,Shop_133,44.19792556762695,17.913532257080078,11,480,1080,26
134,B&V,43.82065582275391,17.61102867126465,4,480,1080,14
135,Konzum,43.33624649047852,17.81353759765625,10,480,1080,11
136,Shop_136,43.346099853515625,17.800615310668945,14,480,1080,11
137,Ocean Centar,44.58414077758789,18.44740867614746,6,480,1080,34
138,Mirino d.o.o. Vitez,44.167022705078125,17.78949546813965,15,480,1080,1
139,Minimarket LIPA,44.46748352050781,18.92051410675049,1,480,1080,9
140,Seven D.o.o.,43.84149169921875,18.30978012084961,9,480,1080,2
141,Frizerski salon Šarm-Joka,44.86338806152344,18.81119155883789,17,480,1080,20
142,Pekara AS,43.82267379760742,18.2049503326416,6,480,1080,42
143,Duhanpromet,43.34506988525391,17.80051612854004,17,480,1080,11
144,Lightstore,43.85140228271485,18.40237808227539,4,480,1080,37
145,Carpisa,44.53169250488281,18.65124893188477,10,480,1080,16
146,Auto Start,43.38716506958008,17.860845961221834,17,480,1080,11
147,Shop_147,43.8177375793457,17.613433837890625,20,480,1080,14
148,Prodavnica,43.862037658691406,18.4533634185791,7,480,1080,37
149,Kabil,44.53767776489258,18.66242027282715,5,480,1080,16
150,Shop_150,44.86854553222656,17.65595817565918,12,480,1080,13
151,Calvin Klein,43.85838317871094,18.41687393188477,6,480,1080,37
152,"""Dućan""",44.21490859985352,18.049915313720703,18,480,1080,41
153,STR Valentino,43.80311584472656,19.001081466674805,17,480,1080,8
154,Shop_154,43.85027313232422,18.384904861450195,1,480,1080,37
155,Marko,44.77511596679688,17.200475692749023,20,480,1080,5
156,DUGA-TEHNA,43.22733688354492,17.69671630859375,11,480,1080,28
157,Madame Coco,44.763031005859375,19.20591354370117,16,480,1080,22
158,Studio Nails,45.14922332763672,17.25484275817871,1,480,1080,19
159,Shop_159,44.76324462890625,17.196338653564453,4,480,1080,5
160,Cvjećara Livia,43.86138916015625,18.420204162597656,12,480,1080,37
161,Shop_161,44.83016204833984,18.72476959228516,10,480,1080,20
162,Seat,44.769039154052734,19.14507102966309,8,480,1080,22
163,MOTOREX PJ KAKANJ,44.12298583984375,18.105222702026367,2,480,1080,41
164,Jeordie's,45.138858795166016,17.25827980041504,8,480,1080,19
165,Jasmina,43.38073348999024,17.596546173095703,19,480,1080,4
166,Shop_166,43.66884613037109,18.973809719085693,3,480,1080,8
167,Matea,43.95245361328125,18.06999015808105,3,480,1080,12
168,Dolina sunca,43.32429885864258,17.824337005615234,16,480,1080,11
169,"Automehanicar Luka""s",44.77888107299805,17.18593406677246,3,480,1080,5
170,Konzum,43.33786582946777,17.80746409893036,18,480,1080,11
171,Nameks,43.22269821166992,17.691572189331055,5,480,1080,28
172,Biscom,44.77054977416992,17.1919002532959,5,480,1080,5
173,Shop_173,45.02901077270508,18.698591232299805,16,480,1080,20
174,Crvena Jabuka,44.5365104675293,18.655488967895508,18,480,1080,16
175,Shop_175,44.85626983642578,17.685379028320312,6,480,1080,13
176,Škoda,44.7575569152832,19.214941024780277,9,480,1080,22
177,Stylos,44.78023147583008,17.206972122192383,17,480,1080,5
178,AS-AD,44.82301139831543,15.85340061554542,20,480,1080,6
179,Mlinar,43.8399658203125,18.45026397705078,14,480,1080,37
180,Pixel,43.85052108764648,18.35311508178711,7,480,1080,2
181,Servis mobitela,44.53787612915039,18.66224479675293,18,480,1080,16
182,Shop_182,43.858009338378906,18.41927146911621,7,480,1080,37
183,Bingo,44.474552154541016,18.699657440185547,10,480,1080,16
184,Lax,44.77424240112305,17.200626373291016,13,480,1080,5
185,Berlijeta d.o.o.,43.84397506713867,18.348337173461918,12,480,1080,2
186,SHP Celex maloprodaja,44.77205276489258,17.224538803100586,15,480,1080,5
187,AMAI MS 6,43.22866821289063,17.701860427856445,17,480,1080,28
188,Shop_188,44.87532997131348,18.793904304504395,15,480,1080,20
189,Shop_189,44.86788177490234,17.665132522583008,4,480,1080,13
190,Super Kort,43.1596565246582,18.54425430297852,8,480,1080,25
191,Planika,44.33991622924805,17.271703720092773,8,480,1080,40
192,Mozzart,44.63559722900391,18.8432559967041,3,480,1080,9
193,Shop_193,42.70919036865234,18.347116470336918,11,480,1080,7
194,Rasadnik-Vival-Nursery,43.18945121765137,17.647843712254577,1,480,1080,28
195,Guinot,44.76762771606445,17.19569206237793,19,480,1080,5
196,BH Play,44.81385040283203,15.871033668518066,18,480,1080,6
197,Sejo,43.877220153808594,18.292070388793945,8,480,1080,2
198,Comex,43.95396423339844,18.06766128540039,19,480,1080,12
199,Mozzart,44.98223876953125,16.719926834106445,8,480,1080,3
200,Shop_200,44.19854736328125,17.91169548034668,1,480,1080,26
201,Kod Dule,44.7598991394043,17.201786041259766,3,480,1080,5
202,OBI,43.83341217041016,18.295988082885746,2,480,1080,2
203,Bili Brig,43.36994171142578,17.426258087158203,8,480,1080,4
204,Shop_204,44.81015396118164,15.865848541259766,3,480,1080,6
205,Shop_205,43.825626373291016,18.35044288635254,2,480,1080,2
206,Mozzart,43.81507110595703,18.56710433959961,11,480,1080,33
207,Sjemenarna,43.10526657104492,17.71836280822754,3,480,1080,28
208,Gral,43.38429260253906,17.593584060668945,17,480,1080,4
209,Manja,44.75949478149414,17.18757438659668,8,480,1080,5
210,Shop_210,42.92510795593262,17.62328595359151,9,480,1080,18
211,iNovine,44.8150634765625,15.875365257263184,16,480,1080,6
212,Stil,44.982669830322266,17.909164428710938,7,480,1080,23
213,HC,43.85780334472656,18.410484313964844,18,480,1080,37
214,Shop_214,44.6956672668457,18.04045867919922,5,480,1080,10
215,Dan i noć,44.764286041259766,17.184005737304688,19,480,1080,5
216,Mercator,43.85817337036133,18.417734146118164,19,480,1080,37
217,Konzum,44.1960334777832,17.912208557128906,16,480,1080,26
218,Shop_218,43.378265380859375,17.603986740112305,8,480,1080,4
219,Domod,43.827392578125,18.3509578704834,16,480,1080,2
220,H&M,44.77919769287109,17.206897735595703,14,480,1080,5
221,Gerber,44.62070083618164,17.37139129638672,7,480,1080,35
222,Best,44.34326934814453,17.271390914916992,4,480,1080,40
223,Mlađo,43.933013916015625,18.80111694335937,4,480,1080,27
224,Slana soba i masaža,43.87561798095703,18.403249740600582,14,480,1080,37
225,"Prodavnica ""Rašmer""",43.90247344970703,18.348073959350582,12,480,1080,2
226,Timex,44.04573440551758,16.855772018432617,14,480,1080,24
227,Shop_227,42.7087516784668,18.349767171419582,14,480,1080,7
228,Tropic,44.78929138183594,17.20390510559082,15,480,1080,5
229,Sportsko igralište,43.86565399169922,18.4001522064209,2,480,1080,37
230,Agroton,44.1260871887207,18.11669921875,4,480,1080,41
231,Amko Komerc,43.82307815551758,18.20584297180176,2,480,1080,42
232,Sfera,44.792606353759766,17.20760154724121,13,480,1080,5
233,iNovine,43.343292236328125,17.812549591064453,11,480,1080,11
234,iNovine,43.34469985961914,17.790576934814453,4,480,1080,11
235,CENTRAL M d.o.o.,44.20858001708984,17.902938842773438,8,480,1080,26
236,Milijana,44.32229232788086,16.938190460205078,7,480,1080,17
237,Sweet Style,44.77338790893555,17.19986915588379,7,480,1080,5
238,Mozzart BHPlay,43.35090255737305,17.800933837890625,18,480,1080,11
239,Šibalija,42.87607192993164,18.42671203613281,15,480,1080,7
240,DUHANPROMET K-3 konjic,43.65462112426758,17.961681365966797,5,480,1080,29
241,Mars 97,43.65650177001953,17.951725006103516,14,480,1080,29
242,Nike,43.382205963134766,17.589969635009766,6,480,1080,4
243,iNovine,43.82172775268555,18.2022762298584,9,480,1080,42
244,Val Adria,42.92719268798828,17.614059448242188,15,480,1080,18
245,Shop_245,43.8491439819336,18.392253875732425,8,480,1080,37
246,iNovine,44.13075256347656,18.12039375305176,3,480,1080,41
247,Maccao,43.32490348815918,17.821874531832606,15,480,1080,11
248,Terranova,43.348392486572266,17.804874420166016,18,480,1080,11
249,Tehno shop,44.53798294067383,18.67538833618164,4,480,1080,16
250,Shop_250,44.70572280883789,18.490535736083984,2,480,1080,0
251,Shop_251,44.12752914428711,18.58017349243164,18,480,1080,44
252,Ramić,44.6394157409668,19.05449104309082,1,480,1080,22
253,Shop_253,44.60668563842773,17.859134674072266,3,480,1080,46
254,Princess,45.14308547973633,17.25043487548828,8,480,1080,19
255,Mlinar,43.3432502746582,17.81241798400879,6,480,1080,11
256,Shop_256,44.33695602416992,17.26982307434082,14,480,1080,40
257,JYSK,43.82212448120117,16.99504280090332,16,480,1080,38
258,Butik Pervan-Commerce,43.65469741821289,17.963056564331055,16,480,1080,29
259,Shop_259,43.37862014770508,17.604190826416016,7,480,1080,4
260,Konzum,44.53864669799805,18.677215576171875,13,480,1080,16
261,BINGO,44.68833541870117,18.30692481994629,2,480,1080,48
262,Super KORT,44.891632080078125,16.900449752807617,6,480,1080,3
263,T.R. Alli,43.853492736816406,18.44709587097168,13,480,1080,37
264,JYSK,44.74007034301758,18.094165802001957,1,480,1080,10
265,Shop_265,44.19499969482422,17.91766929626465,13,480,1080,26
266,Premier,43.34308242797852,17.812442779541016,9,480,1080,11
267,Shop_267,44.84454536437988,15.827634572305463,15,480,1080,6
268,Meridianbet,44.73482131958008,18.08590507507324,10,480,1080,10
269,Avanti,43.85791778564453,18.41808319091797,14,480,1080,37
270,Shop_270,45.18473052978516,16.805753707885742,18,480,1080,49
271,Pepco,44.77653884887695,17.192821502685547,16,480,1080,5
272,Bonita,42.71826553344727,18.35379981994629,5,480,1080,7
273,Pekara Bereg,43.94302368164063,18.797844886779785,7,480,1080,27
274,Odisej Moto Shop,44.53248977661133,18.65968513488769,10,480,1080,16
275,Umbrella,44.77996826171875,17.20702362060547,7,480,1080,5
276,Zalogajnica St. Nicola 2,43.18965148925781,17.679182052612305,2,480,1080,28
277,Shop_277,42.7075138092041,18.341871404647826,19,480,1080,7
278,Sport Vision,44.78008270263672,17.20777130126953,18,480,1080,5
279,Dukat,43.91810989379883,18.12334632873535,2,480,1080,12
280,Shop_280,43.82104110717773,17.61069679260254,11,480,1080,14
281,Shop_281,44.76114654541016,17.20081329345703,2,480,1080,5
282,Suša,44.72872161865234,18.8187313079834,2,480,1080,9
283,Konzum,43.85628509521485,18.422990798950195,19,480,1080,37
284,Shop_284,43.6787223815918,19.4314079284668,16,480,1080,21
285,Premier,43.85910034179688,18.40240478515625,17,480,1080,37
286,Shop_286,44.767988204956055,17.187281131744385,17,480,1080,5
287,"Trgovačka radnja ""Emela""",43.35315704345703,17.81413459777832,6,480,1080,11
288,Duhanpromet,43.33525848388672,17.816631317138672,2,480,1080,11
289,Jurić,43.37839126586914,17.58563232421875,17,480,1080,4
290,Rima,44.13493728637695,18.123952865600582,3,480,1080,41
291,FlexCredit,44.77870559692383,17.16893196105957,6,480,1080,5
292,Auto otpad Saki,44.78518295288086,17.1706485748291,3,480,1080,5
293,Shop_293,44.537071228027344,18.67806053161621,20,480,1080,16
294,Bojprom,43.30686950683594,17.829710006713867,3,480,1080,11
295,Formentini,43.85824203491211,18.41629981994629,8,480,1080,37
296,Shop_296,45.04678726196289,16.3843936920166,13,480,1080,47
297,Pekara Extra Promet,45.05791091918945,15.782519340515137,4,480,1080,6
298,Premier Kladionica,43.85024642944336,18.30696560687946,19,480,1080,2
299,DP Marketi,43.95784759521485,18.267269134521484,8,480,1080,2
300,Mozzart,45.146183013916016,17.25148582458496,19,480,1080,19
301,Intereuropa RTC,44.78764724731445,17.214176177978516,20,480,1080,5
302,Namex,43.30360794067383,17.71377182006836,2,480,1080,11
303,Shop_303,44.20971298217773,17.914539541516987,20,480,1080,26
304,Shop_304,43.59922790527344,19.487483978271484,3,480,1080,21
305,Eld Satovi i Nakit,43.85551071166992,18.40868759155273,14,480,1080,37
306,Konzum,43.871124267578125,18.403757095336918,19,480,1080,37
307,iNovine,44.13029479980469,18.119932174682617,19,480,1080,41
308,Alma Ras,45.14625930786133,17.250839233398438,17,480,1080,19
309,Shop_309,44.608699798583984,17.96135711669922,11,480,1080,32
310,s.Oliver,44.53262710571289,18.65291786193848,9,480,1080,16
311,Mujanić,43.855995178222656,18.423572540283203,7,480,1080,37
312,Shop_312,43.859107971191406,18.41694641113281,11,480,1080,37
313,Techno Shop,44.78067779541016,17.20732879638672,8,480,1080,5
314,Duhan,44.53116226196289,18.69704818725586,9,480,1080,16
315,Wisa,44.6884708404541,18.031118849263045,13,480,1080,10
316,Shop_316,44.53089141845703,18.537155151367188,5,480,1080,34
317,Coco Zebra,43.85079193115234,18.35389709472656,10,480,1080,2
318,Beko shop,45.05062103271485,16.378225326538086,15,480,1080,47
319,Kineska trgovina,43.82521438598633,17.003246307373047,11,480,1080,38
320,Jaso,44.82195663452149,15.871571660629048,3,480,1080,6
321,Schrack Technik,44.78493881225586,17.213233947753906,1,480,1080,5
322,سوبر ماركت 10 فليل يبند,44.81620216369629,15.870446829568772,15,480,1080,6
323,Shop_323,43.86222839355469,18.44050025939941,20,480,1080,37
324,Zlatara Baručić,44.44280624389648,18.875791549682617,19,480,1080,9
325,Zlatare RS Gold,44.77693176269531,17.185836791992188,4,480,1080,5
326,Shop_326,44.43250274658203,17.03341293334961,3,480,1080,17
327,Valentino market,44.766544342041016,17.237382888793945,18,480,1080,5
328,AMKO,43.65363693237305,17.95816421508789,7,480,1080,29
329,Rattan Sedia,44.80774688720703,18.53319549560547,17,480,1080,0
330,market Adisa,44.64277267456055,18.38291549682617,9,480,1080,48
331,Sport Vision,44.05440521240234,17.436500549316406,5,480,1080,36
332,BetOle,44.86275863647461,18.8183650970459,12,480,1080,20
333,Pekara Luke,44.81008338928223,15.86382335400864,3,480,1080,6
334,Elmix,44.12201690673828,18.108242864194125,8,480,1080,41
335,Fiat Servis,43.86555862426758,18.404315948486328,12,480,1080,37
336,Nestro,43.39391708374024,17.86904982725779,10,480,1080,11
337,Pekarnica Bijeli Golub,43.34942436218262,17.80314826965332,6,480,1080,11
338,Shop_338,44.53876876831055,18.676105499267575,15,480,1080,16
339,BIHAMK,43.83225631713867,18.28885340587401,18,480,1080,2
340,Mr. Bean,42.71099472045898,18.347108840942383,10,480,1080,7
341,Shop_341,44.17103958129883,17.766836166381836,20,480,1080,1
342,Shop_342,44.81471633911133,15.869725227355955,17,480,1080,6
343,Cvjećara Ruža,43.8229866027832,17.60727882385254,1,480,1080,14
344,Višnja,44.75966644287109,17.19919204711914,18,480,1080,5
345,FIS,44.486209869384766,18.07794676960765,10,480,1080,31
346,Hari 2,44.24101638793945,17.577407836914062,4,480,1080,1
347,Shop_347,43.8514404296875,18.375932693481445,5,480,1080,37
348,Shop_348,43.8325080871582,18.30866050720215,9,480,1080,2
349,Shop_349,43.05838394165039,17.70692253112793,4,480,1080,28
350,Namex 20,43.10870361328125,17.703548431396484,4,480,1080,28
351,Mangala,43.8603744506836,18.4321231842041,18,480,1080,37
352,ERONET Centar,44.75743865966797,19.21491813659668,5,480,1080,22
353,"Pekara ""Klas""",44.94611740112305,18.3056697845459,9,480,1080,30
354,LAFF COFFEE,43.85874176025391,18.426855087280277,10,480,1080,37
355,Flora,44.22664642333984,17.662403106689453,20,480,1080,1
356,Shop_356,45.019317626953125,16.09224224090576,7,480,1080,39
357,Shop_357,44.812347412109375,15.868730545043944,11,480,1080,6
358,Trgovina mješovitom robom,44.846168518066406,18.956512451171875,7,480,1080,22
359,Shop_359,44.63006210327149,17.98103141784668,9,480,1080,32
360,Interpress,43.381797790527344,17.59186363220215,17,480,1080,4
361,Tepa,43.16579818725586,18.53706141243204,16,480,1080,25
362,Shop_362,43.78255081176758,18.20065116882324,9,480,1080,42
363,Zlatarna Celje,44.77540969848633,17.205387115478516,2,480,1080,5
364,Shop_364,44.6068115234375,17.857315063476562,3,480,1080,46
365,Primorka,43.383583068847656,17.5926456451416,14,480,1080,4
366,Shop_366,44.12308311462402,18.11577125995056,9,480,1080,41
367,Planet,44.77035903930664,17.19085693359375,2,480,1080,5
368,Astra,43.3437614440918,17.812053680419922,1,480,1080,11
369,Cacharel,43.8581428527832,18.41655921936035,11,480,1080,37
370,Vez Mostar,43.34954833984375,17.803855895996094,5,480,1080,11
371,Vesna,43.34996032714844,17.79680061340332,9,480,1080,11
372,Pepco,43.34831237792969,17.80535125732422,6,480,1080,11
373,Konzum,43.94432830810547,18.07794952392578,15,480,1080,12
374,Shop_374,43.05109786987305,17.672481536865234,18,480,1080,28
375,Shop_375,44.770652770996094,17.190601348876953,14,480,1080,5
376,Shop_376,44.888946533203125,16.899944305419922,18,480,1080,3
377,4 Sobe,44.76982879638672,17.191247940063477,1,480,1080,5
378,AC Boras,43.3016242980957,17.829654693603516,4,480,1080,11
379,Mozzart,44.76567077636719,17.204328536987305,3,480,1080,5
380,Dezen,44.461055755615234,18.637514114379883,5,480,1080,16
381,IQOS,43.30718231201172,17.829910278320312,18,480,1080,11
382,Оптика Миг,43.7855339050293,19.29373550415039,2,480,1080,21
383,Malta,44.7746467590332,17.18731117248535,12,480,1080,5
384,Mozzart,44.606815338134766,17.860092163085938,19,480,1080,46
385,Planika,43.30690383911133,17.82994270324707,18,480,1080,11
386,Automehaničar,44.18194961547852,17.670339584350586,5,480,1080,1
387,Redstar Sport,44.87033462524414,18.80732727050781,14,480,1080,20
388,Bingo,43.35048675537109,17.794780731201172,5,480,1080,11
389,Matić,43.94316864013672,18.081457138061523,2,480,1080,12
390,Vesna,44.183292388916016,18.9365177154541,10,480,1080,27
391,Konzum,43.67717361450195,18.98410987854004,12,480,1080,8
392,Vokel,43.821048736572266,17.000089169708772,2,480,1080,38
393,Mercator,43.34628677368164,17.798192977905273,12,480,1080,11
394,Shop_394,44.63302993774414,18.843406677246094,7,480,1080,9
395,Paštrik,44.127872467041016,18.579057693481445,8,480,1080,44
396,Proteini.si,44.775028228759766,17.205795288085938,4,480,1080,5
397,Shop_397,44.41549301147461,17.063039779663086,12,480,1080,17
398,Samoposluga - Maoča,44.7690658569336,18.65687370300293,18,480,1080,0
399,LC Waikiki,44.77627944946289,17.184553146362305,14,480,1080,5
400,Ski kasa Gondola Partizan,43.730712890625,18.573250157492502,20,480,1080,33
401,Penny,43.90361785888672,18.364920475655456,5,480,1080,2
402,Supermarker Petar,43.30297088623047,17.716005325317383,8,480,1080,11
403,"Market ""Moj dućan""",45.0340690612793,18.439340591430664,6,480,1080,30
404,Food Outlet Globus,44.76821899414063,17.185874938964844,6,480,1080,5
405,Nika,44.774208068847656,17.200319290161133,14,480,1080,5
406,Shop_406,43.858055114746094,18.42460823059082,1,480,1080,37
407,B-ONE d.o.o.,43.86988830566406,18.40513801574707,6,480,1080,37
408,Tropic,44.85074615478516,17.23504066467285,11,480,1080,5
409,Bingo Minimarket Tušanj,44.54288864135742,18.66399574279785,14,480,1080,16
